age,revenu_mensuel,anciennete_compte_mois,nb_transactions_mois,montant_moyen_transaction,taux_endettement_pct,nb_incidents_paiement_12m,montant_credit_demande,type_contrat,score_bureau_externe,utilisation_carte_pct,default
42,1829.33,30,20,28.58,20.18,0,7692.12,CDD,696,44.24,1
42,3027.68,22,25,105.51,32.43,0,3990.94,CDI,705,58.02,0
26,1075.58,16,18,14.54,9.04,0,6934.22,Indépendant,668,44.9,0
48,2194.57,23,13,12.09,36.46,1,989.38,CDD,569,36.37,1
21,1809.43,6,16,12.87,3.82,0,5583.97,Sans emploi,575,18.29,1
40,1569.11,37,12,270.86,30.03,0,5510.8,CDD,684,36.63,0
56,2702.21,70,19,48.92,43.91,0,5515.62,Sans emploi,655,19.91,0
25,2694.7,53,22,27.59,18.82,0,4787.53,Indépendant,562,31.2,0
29,1193.76,9,17,35.92,21.8,0,4812.64,CDI,661,42.7,0
36,1678.67,12,11,40.66,17.73,0,2640.1,CDD,684,55.07,1
30,2064.04,39,22,20.68,54.12,1,12397.36,CDI,701,61.35,0
20,1612.01,21,10,22.76,32.08,0,9824.36,CDI,707,41.97,0
35,2363.55,19,11,30.12,33.15,0,15227.02,CDD,533,40.68,0
25,2064.02,62,17,19.36,39.18,2,2605.22,CDI,614,2.09,1
39,4122.94,18,19,25.0,23.47,1,5775.15,Indépendant,521,27.27,0
26,920.11,17,20,44.84,17.47,1,6072.72,CDI,696,41.57,0
50,1723.98,1,18,15.66,26.74,0,1066.63,Indépendant,523,44.49,0
27,1214.16,2,25,260.12,28.63,0,3620.62,CDD,571,48.15,1
32,2383.75,1,18,61.23,37.18,0,4487.04,Indépendant,603,55.76,0
43,885.14,58,22,12.66,36.15,1,4550.32,CDI,664,34.37,0
23,2124.85,12,21,5.0,5.75,0,2249.36,CDD,600,29.29,0
37,1374.71,15,12,19.93,37.94,0,6896.28,Indépendant,536,10.63,0
47,1312.34,44,17,58.04,8.3,0,4508.47,CDI,685,34.02,0
19,955.14,22,27,49.9,21.99,0,2789.89,Indépendant,669,37.34,0
36,1479.67,22,16,31.24,57.28,0,5376.4,CDI,479,25.12,0
37,2953.33,8,15,21.32,33.07,1,2089.72,Indépendant,629,31.7,0
42,1800.4,43,19,16.84,6.65,1,4603.07,CDI,676,65.86,0
23,2408.95,4,16,24.89,29.88,0,3462.6,CDD,695,58.83,0
22,3825.45,1,15,15.48,19.36,0,3727.94,CDI,611,4.34,0
40,2048.03,5,16,24.96,49.15,1,2446.12,Indépendant,822,42.06,0
38,1419.1,7,24,96.04,35.12,0,1902.01,CDI,656,53.75,1
37,2242.61,8,17,18.68,21.36,0,1826.48,CDI,737,32.39,0
38,1428.31,26,12,54.81,50.02,1,1731.6,CDI,609,56.05,1
28,1453.93,6,12,61.73,14.3,0,3890.06,Sans emploi,729,62.51,0
37,924.38,27,27,14.69,38.49,0,4704.8,CDI,639,17.43,0
38,2752.08,2,17,17.65,50.66,0,4575.39,CDI,760,57.16,0
28,1532.79,4,20,78.31,60.23,0,2399.01,CDI,613,30.83,0
53,1974.79,17,15,16.56,40.15,0,1768.15,CDI,662,27.42,0
39,1147.06,60,19,32.56,32.96,0,4765.16,CDI,616,45.8,0
23,2211.51,47,24,166.86,12.78,1,4653.25,Sans emploi,645,54.62,0
41,1296.18,82,15,73.06,27.31,0,7076.37,CDI,660,37.5,0
25,1709.23,25,20,36.39,30.33,0,1798.67,Sans emploi,469,39.58,0
42,2693.27,27,12,65.56,21.19,0,3303.34,CDI,762,69.62,0
46,2590.69,23,26,32.6,9.47,0,4776.39,CDI,509,15.53,0
27,1802.94,23,19,75.28,19.08,1,1477.11,Indépendant,758,35.79,0
44,827.5,4,16,6.92,17.04,0,3307.7,CDI,707,36.86,0
39,6917.39,19,17,30.55,8.05,0,1301.47,CDI,734,45.43,0
43,3966.55,12,16,6.7,21.4,0,2650.88,CDI,589,43.61,0
53,2513.2,14,16,38.62,6.52,0,8392.39,CDI,628,85.83,0
32,1301.24,18,8,28.33,29.6,0,12386.51,CDI,719,37.25,0
27,1730.8,3,17,98.3,19.3,0,3969.06,CDI,513,50.07,1
26,1428.86,11,17,59.29,21.15,0,4515.98,CDI,560,69.08,0
27,3199.28,2,20,22.61,28.9,0,3738.75,Sans emploi,496,79.68,1
34,2046.89,92,16,24.82,15.0,0,6360.12,CDD,738,48.5,0
38,1283.39,3,15,45.81,37.63,2,6093.74,CDI,629,73.7,0
37,1475.93,7,18,21.8,10.08,0,1472.15,Indépendant,725,50.52,0
43,3002.05,53,11,33.21,44.4,0,5131.05,CDI,713,48.37,0
35,3716.89,16,19,94.98,34.29,1,1756.52,CDD,753,37.38,0
49,3599.81,3,10,17.85,1.19,0,7367.26,Sans emploi,608,61.62,0
32,2552.01,11,23,24.03,11.65,0,7210.9,Indépendant,539,16.92,1
61,1626.73,3,21,26.8,21.3,1,1401.04,CDI,669,53.59,0
41,800.0,5,14,398.67,33.48,1,6689.15,CDI,630,63.54,1
26,2078.77,1,21,54.7,55.93,0,1878.58,CDD,729,71.03,1
24,1819.26,14,18,82.26,32.62,1,3284.59,CDI,664,13.24,0
39,1938.04,39,14,61.95,18.64,0,1705.28,CDI,729,15.66,0
33,1865.04,21,9,65.29,45.65,0,4933.89,CDI,753,44.24,0
42,1007.76,22,19,49.25,28.51,0,9387.52,Sans emploi,520,22.42,0
39,2334.62,5,15,45.27,2.93,0,3248.66,Indépendant,479,67.22,0
34,2413.83,10,22,11.0,29.3,0,2631.22,Indépendant,529,8.88,0
27,2468.39,44,18,45.01,1.6,1,3560.02,CDI,558,42.62,1
20,2777.13,2,15,31.3,15.19,2,8761.11,CDD,631,32.65,0
30,2383.69,46,25,52.09,20.22,1,6664.78,CDI,564,35.19,1
43,1516.45,16,20,32.23,40.43,0,8405.81,Indépendant,706,11.72,0
37,1764.12,43,4,61.71,44.64,0,3568.26,CDI,689,46.87,0
23,1896.27,9,16,70.82,46.97,0,990.65,CDI,643,34.09,0
36,1910.34,10,12,5.0,18.99,0,1235.7,CDD,679,21.18,0
38,2841.83,33,15,24.29,27.53,1,3240.95,CDI,712,31.73,0
26,2426.19,36,17,8.01,6.68,1,1556.11,CDI,599,14.03,0
36,4598.54,6,19,41.02,26.0,0,5587.67,CDI,712,11.22,0
35,4871.15,85,19,26.94,16.33,1,3169.12,CDI,491,76.6,0
24,1886.59,2,22,97.92,7.9,1,1212.36,CDI,615,50.41,0
38,800.0,2,21,40.02,15.94,1,4467.86,CDI,724,70.79,0
40,3160.95,21,20,23.33,14.63,1,2320.05,CDI,550,26.92,0
45,1430.8,30,19,70.75,63.3,2,3214.34,CDI,547,52.13,1
45,1273.52,77,23,26.58,32.65,0,6813.99,CDI,593,23.71,0
21,1524.3,12,17,23.11,45.79,1,7813.83,Sans emploi,646,5.96,1
26,1491.89,1,17,46.28,10.47,0,7922.78,CDI,636,13.43,0
40,2392.45,22,10,119.64,34.96,0,5536.66,CDI,703,89.52,0
40,908.22,8,22,66.22,19.17,0,10693.07,CDI,764,26.15,0
40,1125.9,13,18,52.97,37.59,0,3028.37,CDD,664,54.07,0
72,2121.86,16,30,290.32,10.56,1,3269.97,CDD,729,83.28,1
40,2403.86,2,16,19.25,20.01,0,2419.94,Sans emploi,641,33.15,0
46,2423.89,16,18,18.92,29.74,0,3801.95,CDI,596,42.37,0
44,1281.75,13,20,38.15,3.92,0,3638.66,Indépendant,749,45.64,0
41,1176.96,30,13,110.85,20.24,0,4041.73,CDI,626,57.23,0
32,1452.5,25,19,16.35,6.18,0,3575.38,CDI,537,48.75,0
42,2026.33,5,18,133.59,9.52,0,6401.31,Indépendant,724,15.05,0
27,3531.66,5,17,11.1,17.49,0,3798.75,CDI,725,30.9,0
32,800.0,7,23,30.99,31.74,0,3472.32,CDI,695,7.76,0
30,1650.04,5,14,38.98,62.7,2,4637.54,Sans emploi,657,49.61,0
35,1004.88,25,19,17.12,49.04,1,1710.46,Sans emploi,633,31.07,1
57,871.4,123,24,20.99,49.82,1,1766.31,CDI,600,46.57,0
18,2802.49,25,15,63.34,10.62,0,3163.76,CDI,754,53.81,0
41,2321.35,22,17,104.69,17.96,0,5279.5,CDI,590,10.45,0
19,2224.86,13,28,6.56,66.71,2,3737.35,CDD,518,46.26,1
30,2745.66,9,20,39.19,62.43,0,3053.15,Indépendant,723,55.24,1
45,1470.04,57,16,31.18,30.9,3,3988.22,Indépendant,637,23.21,1
35,1501.24,82,21,37.03,32.9,0,7355.51,Indépendant,715,34.46,0
24,4826.3,16,16,26.61,32.97,1,1880.65,Indépendant,654,31.43,0
28,1631.13,8,11,12.46,14.25,1,3913.61,Indépendant,691,33.6,0
41,2527.2,35,24,113.23,27.65,0,1839.68,Indépendant,587,73.61,0
28,1825.93,3,13,84.03,45.24,0,2161.94,Indépendant,753,31.14,0
37,800.0,34,28,31.41,19.12,1,3855.65,CDI,545,9.68,0
35,800.0,41,16,23.28,19.95,1,6037.33,CDI,494,7.08,0
28,1406.38,3,27,21.18,33.23,0,4160.61,CDI,592,80.75,0
55,2916.15,89,12,5.0,11.81,1,5407.95,CDI,620,32.28,0
41,2587.84,100,22,44.86,38.09,1,4204.17,CDI,741,67.9,0
18,2737.17,65,20,62.54,21.42,0,8483.67,Sans emploi,600,82.49,1
36,1172.36,16,21,37.92,36.89,2,5328.93,Sans emploi,611,56.18,1
28,3743.14,7,22,31.84,34.51,0,3443.95,CDI,657,37.05,0
43,1184.0,21,16,37.78,10.16,0,6529.72,CDD,532,29.21,0
27,2002.04,13,12,17.52,42.64,1,3777.08,Sans emploi,811,9.78,0
34,1812.36,5,18,23.08,7.5,1,5236.57,CDI,610,9.26,0
40,1684.88,13,19,29.92,27.09,0,6483.93,Indépendant,705,20.25,0
43,3307.71,26,16,58.6,42.88,0,9375.44,CDI,676,42.43,0
23,1329.45,2,19,99.7,6.31,0,10635.79,CDI,515,73.15,0
31,997.32,10,19,28.49,3.66,0,11750.83,Sans emploi,652,32.1,0
30,1837.05,1,14,15.09,25.09,0,6720.65,CDI,612,24.44,0
28,1523.37,33,20,35.01,18.44,1,3484.04,CDI,681,29.86,0
52,8211.68,24,17,163.2,39.28,0,4534.04,CDI,756,72.84,0
39,2461.98,2,15,16.15,32.87,0,2469.96,Indépendant,742,6.74,0
23,1516.92,79,21,67.9,30.65,1,2803.7,CDD,697,78.78,1
44,1136.8,1,15,96.42,24.6,0,4050.19,Sans emploi,598,65.7,0
55,800.0,21,16,25.73,37.39,0,5415.99,CDI,603,29.33,0
45,1152.57,35,18,19.73,28.19,0,2458.93,CDI,713,42.24,0
20,1916.52,37,24,53.3,8.97,0,4715.0,CDI,588,38.49,0
30,3441.24,1,19,44.84,19.3,0,1495.58,Sans emploi,652,60.18,1
47,3002.72,56,20,58.51,29.99,0,3056.39,CDI,675,41.6,0
28,2016.62,59,17,171.3,37.93,0,5949.9,Sans emploi,531,21.68,0
39,1576.35,20,18,38.79,13.33,0,3428.18,CDI,625,27.69,0
42,2052.66,16,18,13.45,11.14,0,8435.57,CDI,684,17.07,0
26,1444.74,1,19,35.87,10.42,0,5515.46,CDI,613,43.51,1
34,3918.21,20,17,41.11,39.59,1,1196.81,CDI,776,39.59,0
18,1673.41,12,24,91.39,30.02,0,4455.85,Sans emploi,565,26.88,0
25,1751.97,35,16,29.22,37.01,0,3689.42,Indépendant,770,54.32,0
32,800.0,12,11,24.76,22.61,0,7861.84,CDI,796,14.78,0
23,1668.76,27,29,11.7,29.39,1,1667.08,CDI,745,35.99,0
50,2644.06,3,17,52.17,38.41,0,6581.85,CDD,753,29.54,0
21,1130.93,3,23,462.32,51.88,0,8855.42,CDD,596,36.46,0
30,1302.68,4,24,28.63,32.15,0,8981.55,Sans emploi,533,81.58,0
36,2592.94,1,22,48.43,25.19,0,3404.23,CDI,668,25.75,0
49,942.38,18,17,22.23,15.11,0,6341.55,CDI,589,52.79,0
21,2918.37,37,19,12.55,27.96,0,4627.8,CDD,628,35.93,0
46,1436.07,22,13,47.76,14.64,2,11287.37,CDD,573,21.3,1
35,1531.03,20,26,34.81,7.43,0,6190.48,Indépendant,590,41.54,0
25,1102.96,27,14,5.31,37.59,0,4128.68,CDI,724,31.85,0
39,2155.13,10,17,119.37,10.85,0,4261.43,CDI,593,55.62,0
37,5453.99,11,18,47.09,12.57,0,1957.9,Indépendant,668,57.38,0
29,2580.01,9,17,36.07,21.46,1,2665.07,CDI,589,62.87,0
35,1238.34,30,15,24.51,14.03,0,3584.45,CDD,627,37.31,0
31,3021.43,4,24,46.7,37.78,0,5753.68,CDI,454,52.11,0
36,1580.92,1,22,48.41,12.84,0,1537.74,Indépendant,553,22.49,0
41,3361.09,21,19,46.55,19.35,0,4725.24,Sans emploi,702,24.28,1
50,2609.14,68,16,78.25,15.25,0,2369.02,Sans emploi,541,21.04,1
23,800.0,22,22,93.41,30.44,1,1602.15,CDI,646,37.79,1
55,1163.49,36,16,162.45,34.51,0,2086.98,CDI,643,20.24,0
18,2774.42,26,24,17.74,36.04,0,3927.74,CDI,727,3.71,0
33,1948.16,16,18,21.79,16.45,0,4680.04,CDI,524,67.68,0
40,1153.33,30,23,45.12,23.18,1,4688.12,CDD,648,33.86,0
37,1372.54,41,17,18.56,9.69,2,3168.29,CDI,596,61.02,0
29,800.0,6,18,21.04,49.83,1,3044.74,CDI,799,1.8,0
33,1750.38,10,23,49.31,31.02,0,4029.28,CDI,827,57.05,0
30,4880.33,6,27,68.7,34.63,1,1343.27,Indépendant,746,33.88,0
29,2607.12,14,24,92.01,20.83,0,4003.18,Indépendant,722,51.27,0
43,4836.4,51,22,29.31,12.34,0,4707.93,CDI,626,56.94,0
38,2698.76,10,20,48.85,22.2,0,1803.51,Sans emploi,637,27.44,0
28,2879.17,11,16,41.15,65.29,1,6687.44,CDI,617,23.07,1
43,4391.56,47,19,34.53,22.43,0,1709.57,CDI,678,35.4,0
38,2154.38,17,14,18.04,32.96,1,5032.43,Sans emploi,587,83.6,0
43,1674.88,18,19,16.33,42.0,0,2019.3,CDI,552,73.72,0
41,2885.82,47,20,57.24,5.55,1,5810.44,CDI,602,26.21,0
27,3482.18,16,10,17.8,30.0,0,3672.69,Sans emploi,602,39.3,0
29,1469.88,27,18,8.53,56.9,1,2982.16,CDI,539,79.63,0
42,1319.73,2,20,33.22,20.63,0,6345.62,Sans emploi,797,15.77,0
41,1937.07,5,18,105.81,71.06,0,1521.28,CDI,727,42.61,0
34,2638.19,12,19,5.0,45.97,2,5712.4,CDI,696,50.45,1
36,2599.17,16,12,27.2,54.97,0,5182.13,CDI,621,48.69,0
47,964.7,80,15,57.63,42.91,4,3727.15,CDI,645,9.8,1
29,4270.88,84,22,8.23,25.48,2,4493.47,CDI,742,26.99,0
40,1367.91,45,18,28.84,60.67,1,1355.38,CDI,718,43.0,1
33,1617.73,9,19,14.02,35.88,0,3398.23,CDD,755,34.39,1
33,1217.33,79,16,15.54,31.47,1,3389.07,CDD,669,25.09,0
45,6066.0,28,18,24.89,39.26,2,9976.1,CDI,763,50.59,0
43,2028.32,12,8,14.2,33.97,0,2346.0,CDI,569,61.57,1
43,1245.72,29,21,13.31,9.81,1,1190.47,CDI,490,21.26,0
47,2676.62,1,25,32.52,9.36,1,4051.82,CDI,611,29.85,1
35,2565.82,4,13,193.05,24.32,0,3532.6,CDI,585,23.69,0
41,1674.51,42,14,61.45,34.96,0,2781.73,CDI,643,15.77,0
32,2648.93,25,20,74.83,34.98,0,1541.45,CDI,691,22.68,0
38,1260.07,11,24,63.37,19.84,0,2113.36,CDI,561,60.61,0
33,1461.41,16,18,19.78,26.04,0,2644.81,Indépendant,748,38.09,0
36,800.0,56,13,43.39,42.06,2,3421.11,CDI,632,30.49,1
40,1008.8,24,17,80.09,28.06,1,1151.42,Indépendant,808,40.27,0
27,4077.35,12,14,64.93,17.92,0,8243.81,CDI,608,30.67,0
55,3786.04,3,15,39.63,16.4,1,9139.97,CDD,766,30.19,0
25,1874.96,8,17,51.07,21.71,0,1902.83,CDI,537,33.43,0
23,3822.53,91,14,231.96,55.56,0,1608.56,CDI,651,9.77,0
46,1695.29,14,15,65.49,28.57,1,1992.37,CDD,661,11.0,0
42,1633.43,15,18,26.64,13.18,0,5402.11,CDI,497,28.43,0
41,1867.22,16,19,32.15,13.89,0,3310.73,CDI,614,8.65,0
41,1722.07,51,12,14.98,18.45,0,3403.65,Indépendant,739,8.58,0
35,1654.12,22,20,211.95,53.77,2,10434.08,CDI,633,15.01,0
26,3031.93,28,16,118.8,29.01,0,4245.99,CDI,812,32.59,0
35,1946.84,12,21,36.34,37.12,0,6897.7,CDD,573,43.64,0
28,2501.8,1,21,186.21,31.97,0,6123.87,Sans emploi,727,49.32,1
44,2884.18,63,16,55.74,33.26,0,4392.44,CDI,654,40.75,0
33,2164.9,71,20,24.35,33.33,1,1770.22,Indépendant,566,48.13,0
27,1181.17,71,14,69.0,12.43,0,3720.48,CDI,692,66.18,0
32,995.88,68,23,46.46,18.08,0,2601.4,CDI,662,63.32,0
39,1945.66,40,15,65.41,18.95,0,4568.18,CDI,688,36.8,0
29,1686.85,27,19,11.72,20.24,1,6608.53,CDI,678,67.49,1
27,1893.11,44,17,18.12,24.4,1,1891.83,CDI,720,12.59,0
37,1807.75,22,14,108.58,42.78,2,3598.08,CDI,761,18.11,0
37,5763.35,3,22,127.35,12.34,1,6915.95,CDI,551,61.5,0
30,1005.98,12,15,102.55,16.16,2,9886.67,Indépendant,578,77.31,0
30,800.0,84,11,191.78,22.17,1,1420.49,CDI,580,21.61,0
37,2111.68,10,6,53.4,18.89,0,3141.17,Sans emploi,564,29.2,0
21,1539.35,48,14,50.55,49.34,0,4370.18,CDI,530,41.9,0
21,2096.38,2,24,16.72,16.86,0,3659.25,CDI,650,34.69,0
28,2362.35,10,23,21.67,58.59,1,2497.97,CDI,600,61.37,1
33,3228.3,10,15,7.24,50.3,1,1284.23,Indépendant,718,17.93,0
38,929.62,1,16,26.51,21.37,0,3337.93,CDI,762,49.2,0
49,1420.41,3,16,6.85,40.13,1,1668.44,CDD,651,39.11,0
43,2204.44,5,12,79.05,38.56,0,3333.02,Indépendant,736,52.21,0
33,2567.34,43,14,46.09,31.87,1,6334.98,CDI,650,47.08,0
35,4842.95,2,22,7.03,16.41,0,7007.37,CDI,747,10.22,0
25,2788.46,8,20,29.37,27.14,1,4911.61,Indépendant,787,70.77,0
35,1775.21,1,19,157.72,34.31,0,12582.43,CDI,581,77.36,1
32,1223.98,28,12,30.88,35.42,1,10289.33,CDI,711,41.23,0
