age,revenu_mensuel,anciennete_compte_mois,nb_transactions_mois,montant_moyen_transaction,taux_endettement_pct,nb_incidents_paiement_12m,montant_credit_demande,type_contrat,score_bureau_externe,utilisation_carte_pct,default_reel,proba_defaut,prediction,segment_risque
38,2144.89,8,12,40.8,35.56,0,1554.59,CDI,661,33.56,0,0.3752,0,Faible risque
18,1687.67,3,18,14.97,22.15,0,2335.54,CDI,723,27.47,0,0.2691,0,Faible risque
45,3030.12,45,17,68.78,26.61,0,973.38,CDI,567,38.05,0,0.4623,0,Risque moyen
31,2014.79,55,14,27.89,45.93,0,2300.35,CDI,480,41.57,0,0.6817,1,Risque eleve
29,2632.84,27,19,22.97,42.62,0,7861.53,CDI,678,27.4,0,0.364,0,Faible risque
32,1052.21,27,5,171.46,12.03,0,2469.49,CDI,600,46.85,0,0.4025,0,Risque moyen
41,933.19,43,21,10.43,25.28,1,6191.47,Indépendant,536,71.59,0,0.6788,1,Risque eleve
30,4132.85,50,14,10.07,3.98,1,6330.72,CDI,590,28.44,0,0.3971,0,Risque moyen
26,1820.25,48,16,44.34,34.03,2,4802.1,CDI,611,45.49,0,0.6772,1,Risque eleve
32,1394.33,2,16,25.11,35.73,0,3381.72,Sans emploi,672,67.25,0,0.6494,1,Risque eleve
24,2969.94,26,20,13.45,13.79,0,2304.81,CDI,613,37.37,0,0.3452,0,Faible risque
31,800.0,9,18,33.43,41.73,1,3317.3,CDI,702,40.27,1,0.498,0,Risque moyen
49,2459.99,108,20,18.61,30.56,0,4614.35,CDI,648,13.41,0,0.408,0,Risque moyen
48,3071.81,25,20,17.87,46.9,1,9166.02,CDD,464,23.08,1,0.8001,1,Risque eleve
36,2075.92,1,15,26.44,10.38,1,7312.79,CDD,632,26.75,0,0.4955,0,Risque moyen
28,2244.95,61,20,99.96,53.91,0,3133.03,CDI,630,33.65,0,0.5237,1,Risque moyen
35,1304.71,29,14,13.03,40.29,0,5102.42,CDI,662,43.26,0,0.4231,0,Risque moyen
40,1467.57,5,16,20.57,20.08,1,12911.0,CDI,658,40.95,0,0.4099,0,Risque moyen
38,4291.16,40,16,74.83,5.03,0,3465.03,CDI,720,44.96,0,0.1819,0,Faible risque
18,3102.77,1,18,27.09,47.34,0,4286.11,CDI,840,23.5,0,0.1963,0,Faible risque
23,1349.7,49,7,62.02,28.4,0,13132.4,CDD,644,59.53,0,0.4848,0,Risque moyen
41,1871.57,28,18,8.53,17.35,1,3520.41,Indépendant,684,65.08,0,0.4252,0,Risque moyen
42,1170.81,24,15,43.34,22.62,1,4214.49,CDI,635,25.87,0,0.4929,0,Risque moyen
45,1939.02,6,14,28.35,21.28,0,2460.09,CDD,682,9.89,0,0.3816,0,Faible risque
47,1535.78,1,22,20.98,6.95,0,2069.48,CDI,567,49.55,0,0.4043,0,Risque moyen
25,2303.66,28,18,15.82,29.18,1,7844.33,Indépendant,778,42.06,1,0.3253,0,Faible risque
21,3006.37,22,22,14.62,13.13,0,4175.87,Indépendant,496,82.94,0,0.5201,1,Risque moyen
36,2793.19,6,12,40.56,26.32,1,5483.44,CDD,673,22.17,0,0.4904,0,Risque moyen
39,1558.69,5,17,34.43,21.66,1,3284.79,CDD,670,60.85,0,0.5361,1,Risque eleve
32,1927.65,47,16,25.51,27.69,0,2493.7,CDI,704,33.03,0,0.3225,0,Faible risque
38,1307.86,11,11,34.51,3.74,0,2587.0,CDI,749,11.18,1,0.1916,0,Faible risque
24,800.0,39,20,19.41,27.54,0,2440.94,Indépendant,756,65.37,0,0.3192,0,Faible risque
22,1534.97,17,10,21.98,16.12,0,1784.95,Indépendant,707,51.24,0,0.2947,0,Faible risque
27,2045.25,60,19,29.91,12.48,0,15790.54,CDD,835,27.82,0,0.192,0,Faible risque
34,1977.69,7,23,46.83,30.11,0,2932.03,CDI,733,13.76,0,0.2756,0,Faible risque
39,2099.99,8,24,40.64,44.52,0,3180.72,CDD,574,40.71,1,0.6298,1,Risque eleve
27,1702.81,50,22,33.91,20.28,0,2633.3,CDD,771,11.48,0,0.3119,0,Faible risque
43,2038.4,28,22,41.2,11.09,0,3029.04,CDD,599,56.85,0,0.4792,0,Risque moyen
31,1400.72,17,14,15.27,42.79,0,2442.12,CDI,702,34.29,0,0.3787,0,Faible risque
18,3154.6,2,21,34.26,52.67,0,1818.86,CDI,502,43.37,0,0.6304,1,Risque eleve
46,1528.18,1,21,22.16,44.05,1,1566.8,CDD,529,65.67,0,0.7841,1,Risque eleve
21,1129.18,15,20,53.67,28.58,1,3853.93,CDI,711,53.28,0,0.4329,0,Risque moyen
26,1430.86,59,10,72.41,23.55,0,5234.61,CDI,520,36.67,0,0.5527,1,Risque eleve
26,1759.87,16,16,28.32,21.66,0,2502.83,CDD,760,37.78,0,0.3139,0,Faible risque
28,1207.69,5,17,19.01,60.82,1,11036.41,CDI,566,37.62,1,0.7028,1,Risque eleve
26,1710.4,16,14,18.03,77.42,0,4401.57,CDI,560,32.37,0,0.6823,1,Risque eleve
52,2204.64,29,22,26.71,11.79,0,6607.6,CDI,632,43.07,1,0.3235,0,Faible risque
40,2575.75,8,15,17.71,50.04,1,4654.51,CDI,667,39.18,0,0.5141,1,Risque moyen
33,1153.34,8,22,8.05,65.6,0,3006.93,Sans emploi,534,8.56,0,0.8613,1,Risque eleve
31,1097.49,10,18,11.2,30.77,0,5419.72,CDI,671,28.3,0,0.3674,0,Faible risque
39,1458.55,74,16,5.88,34.46,0,2605.01,CDI,780,63.74,1,0.2937,0,Faible risque
23,1219.89,27,21,54.49,39.9,0,3459.19,CDD,606,10.88,1,0.5986,1,Risque eleve
36,1910.34,10,12,5.0,18.99,0,1235.7,CDD,679,21.18,0,0.3866,0,Faible risque
27,2340.88,37,15,47.32,40.39,0,1748.72,Indépendant,737,65.78,0,0.3441,0,Faible risque
33,1465.52,3,20,15.81,31.47,1,1597.69,CDI,735,15.64,0,0.3879,0,Faible risque
36,1100.76,9,12,102.81,3.55,0,2995.51,Indépendant,690,32.19,1,0.2698,0,Faible risque
43,2628.2,44,16,19.27,21.87,1,4730.23,CDD,581,49.7,1,0.6318,1,Risque eleve
44,1218.27,3,15,27.77,68.13,0,1612.36,Sans emploi,544,61.96,1,0.8647,1,Risque eleve
18,1691.93,2,17,62.53,34.06,2,3408.14,CDD,770,14.29,0,0.5475,1,Risque eleve
52,3052.51,26,18,85.94,26.56,1,1717.27,Indépendant,761,25.92,0,0.3235,0,Faible risque
32,1384.32,21,22,43.16,30.85,1,2402.73,CDI,638,54.1,0,0.5383,1,Risque eleve
39,3394.65,7,18,19.41,21.93,1,16083.15,CDI,702,30.9,0,0.3005,0,Faible risque
25,1145.75,17,15,21.12,40.15,1,6418.53,CDD,454,23.21,0,0.8298,1,Risque eleve
34,2418.93,16,17,43.44,47.63,0,5674.66,Indépendant,611,88.44,0,0.5152,1,Risque moyen
50,1060.14,4,17,39.0,21.67,0,3785.37,Sans emploi,726,50.49,0,0.5262,1,Risque moyen
40,1766.13,4,23,8.73,37.89,1,4250.27,CDI,753,20.53,0,0.3766,0,Faible risque
44,1755.56,16,15,108.16,33.92,1,3402.67,CDI,555,14.57,1,0.6203,1,Risque eleve
39,2807.09,23,26,42.0,15.17,0,2684.33,Indépendant,755,20.11,0,0.2148,0,Faible risque
25,2248.41,14,22,11.56,24.88,0,5041.42,Sans emploi,833,20.66,0,0.3657,0,Faible risque
38,1246.15,8,19,68.48,20.0,1,3060.97,CDI,625,78.23,0,0.5101,1,Risque moyen
22,3539.01,10,21,36.54,21.32,0,1317.02,CDI,531,33.88,0,0.4565,0,Risque moyen
31,800.0,20,13,68.02,45.56,0,1895.73,CDI,652,26.04,1,0.4734,0,Risque moyen
30,1068.25,8,23,11.78,41.13,0,3048.05,CDI,678,26.56,0,0.41,0,Risque moyen
42,1597.99,14,18,50.02,11.99,1,2816.52,Indépendant,655,47.29,1,0.4382,0,Risque moyen
28,3202.81,81,21,25.65,41.92,0,1762.65,CDD,650,37.21,1,0.5349,1,Risque eleve
39,2719.83,4,16,27.07,46.89,1,10231.81,Sans emploi,504,30.3,0,0.8611,1,Risque eleve
38,1354.45,104,23,11.31,34.76,0,4207.29,CDI,728,53.81,0,0.3726,0,Faible risque
24,2189.63,12,19,68.96,52.38,0,2706.89,CDI,746,25.97,0,0.3398,0,Faible risque
33,3622.7,25,10,55.08,9.62,0,5471.01,CDI,735,13.51,0,0.1752,0,Faible risque
36,1203.51,11,16,24.11,57.07,0,4001.14,CDI,548,23.83,1,0.6304,1,Risque eleve
33,1617.73,9,19,14.02,35.88,0,3398.23,CDD,755,34.39,1,0.3695,0,Faible risque
42,3299.78,12,8,73.14,4.82,1,5688.17,CDI,711,34.89,0,0.2609,0,Faible risque
25,1251.24,19,18,88.25,36.6,0,12473.21,CDI,826,60.16,0,0.2142,0,Faible risque
34,3039.54,14,21,98.32,48.49,0,2355.41,Indépendant,651,39.79,0,0.4449,0,Risque moyen
45,2063.14,1,18,37.88,32.91,1,2311.85,CDD,762,11.75,1,0.4294,0,Risque moyen
38,1885.1,71,22,44.24,17.79,0,2696.12,CDI,649,24.11,0,0.3661,0,Faible risque
22,2394.41,35,20,31.55,13.42,0,1251.22,CDD,538,42.82,0,0.5661,1,Risque eleve
41,1180.02,14,20,15.28,31.87,1,2588.04,CDI,599,53.4,1,0.59,1,Risque eleve
52,2057.06,49,19,52.36,15.17,1,1770.91,CDI,615,38.27,0,0.4904,0,Risque moyen
33,3541.86,8,24,32.17,38.96,0,4161.23,Sans emploi,539,14.63,0,0.7447,1,Risque eleve
30,1601.22,25,13,22.67,2.51,0,3555.45,Indépendant,596,79.93,0,0.3824,0,Faible risque
42,1319.65,24,18,30.06,5.34,0,3946.1,CDI,624,49.49,0,0.3392,0,Faible risque
35,1619.53,2,19,79.57,34.9,1,4605.3,Indépendant,618,25.17,1,0.5628,1,Risque eleve
34,3088.36,26,26,64.3,18.16,1,7257.96,CDI,608,38.93,0,0.4592,0,Risque moyen
41,1784.63,22,22,7.17,27.13,0,2400.7,CDI,722,59.61,1,0.3013,0,Faible risque
18,1366.96,9,21,32.44,18.15,0,791.73,CDI,679,67.74,0,0.3339,0,Faible risque
35,2902.02,1,21,18.5,16.87,0,5475.2,CDI,696,37.91,0,0.2446,0,Faible risque
45,1922.13,1,19,19.05,23.0,0,2776.87,CDI,666,29.31,0,0.3231,0,Faible risque
27,1079.62,38,15,29.57,27.53,1,9018.41,CDD,715,41.53,0,0.5108,1,Risque moyen
32,800.0,4,18,18.54,54.36,1,8935.58,CDI,526,50.61,0,0.7424,1,Risque eleve
42,2098.97,6,15,13.19,53.27,0,1311.31,CDD,599,58.38,0,0.6344,1,Risque eleve
29,1194.6,6,23,31.8,11.61,0,2161.44,CDD,638,73.7,0,0.4547,0,Risque moyen
38,3130.24,2,24,115.9,55.45,0,1162.03,CDD,636,34.33,1,0.567,1,Risque eleve
46,2374.23,9,21,30.14,14.64,0,1466.47,CDI,552,38.08,1,0.4319,0,Risque moyen
37,1369.24,28,12,35.44,70.02,0,4613.52,CDI,834,77.34,0,0.3334,0,Faible risque
40,2691.33,16,9,112.08,17.38,0,5259.13,CDD,602,47.23,0,0.4549,0,Risque moyen
37,2454.72,92,14,76.22,17.1,1,4183.37,Sans emploi,402,10.27,0,0.8975,1,Risque eleve
32,1811.01,11,18,29.06,41.37,0,6892.72,CDI,529,21.17,0,0.5672,1,Risque eleve
44,1714.36,15,25,64.23,20.76,0,4759.69,CDD,679,30.79,0,0.4048,0,Risque moyen
41,1357.04,12,17,73.0,21.22,0,2825.34,CDI,644,15.5,0,0.3602,0,Faible risque
27,1374.82,59,14,21.6,47.17,0,1329.1,CDI,677,31.7,0,0.4575,0,Risque moyen
47,1578.46,16,14,41.63,44.44,0,4432.79,CDI,673,19.44,0,0.4022,0,Risque moyen
18,1505.28,14,10,15.14,23.46,0,3811.18,CDD,371,50.8,0,0.7889,1,Risque eleve
26,1439.7,33,23,18.3,47.7,0,1559.43,CDI,677,78.57,0,0.4651,0,Risque moyen
35,3056.51,25,10,80.36,32.41,0,6823.48,CDI,640,63.0,0,0.3659,0,Faible risque
39,2018.8,2,18,30.33,30.57,0,5185.25,Sans emploi,684,54.74,0,0.587,1,Risque eleve
45,1202.66,42,12,8.86,31.52,0,7208.84,CDI,539,35.39,1,0.5463,1,Risque eleve
44,1523.08,64,15,70.61,27.92,0,15979.19,Indépendant,721,46.3,0,0.3044,0,Faible risque
41,2312.08,65,7,31.63,12.55,1,3535.77,CDD,592,13.48,0,0.5879,1,Risque eleve
33,1650.16,6,15,21.78,26.2,1,3383.23,CDI,648,38.58,0,0.4735,0,Risque moyen
42,1090.31,67,13,31.24,11.53,0,1975.76,CDI,827,32.95,0,0.1793,0,Faible risque
28,2973.04,1,18,117.64,24.51,0,5221.69,CDI,684,36.15,0,0.281,0,Faible risque
19,2224.86,13,28,6.56,66.71,2,3737.35,CDD,518,46.26,1,0.8905,1,Risque eleve
27,3615.13,4,17,14.79,11.7,0,4421.84,CDI,752,19.07,0,0.1668,0,Faible risque
52,2013.09,1,9,11.49,7.03,1,2695.99,CDI,475,30.25,0,0.5977,1,Risque eleve
31,1464.86,10,21,73.67,6.28,0,2532.61,CDD,739,80.74,0,0.3042,0,Faible risque
59,2992.26,22,14,76.19,7.71,1,2340.19,Indépendant,614,21.71,0,0.4236,0,Risque moyen
22,994.24,1,16,19.2,9.29,1,3035.5,CDI,647,59.93,0,0.434,0,Risque moyen
40,1084.48,48,18,15.73,11.22,1,1268.55,Indépendant,756,47.16,0,0.3469,0,Faible risque
39,2003.5,1,15,124.18,9.09,0,2188.69,Indépendant,628,41.66,0,0.338,0,Faible risque
33,2216.0,9,23,32.32,12.98,0,2141.1,CDI,503,15.94,1,0.4891,0,Risque moyen
47,1326.6,6,18,30.72,27.79,0,2163.98,CDI,850,54.69,0,0.1808,0,Faible risque
46,1992.16,35,20,12.95,67.9,2,5712.88,CDI,604,31.93,1,0.7768,1,Risque eleve
25,1437.38,25,17,14.35,8.89,0,2108.8,CDI,798,6.09,0,0.1726,0,Faible risque
36,3349.51,103,21,188.61,32.85,0,914.8,CDI,682,41.49,0,0.3738,0,Faible risque
22,1608.01,15,23,15.0,35.58,0,7555.4,CDI,755,41.6,1,0.2803,0,Faible risque
34,2507.14,14,22,74.84,39.68,0,2311.58,Indépendant,610,51.36,1,0.4832,0,Risque moyen
44,1069.49,8,27,11.6,10.55,0,3048.16,CDI,667,24.94,0,0.3076,0,Faible risque
30,2566.87,15,18,47.29,8.77,0,2428.77,CDI,522,17.67,0,0.4363,0,Risque moyen
26,903.36,11,19,14.17,57.87,0,3923.02,CDI,600,16.65,0,0.5788,1,Risque eleve
34,2451.64,11,20,78.29,16.55,0,11761.03,Sans emploi,743,52.03,0,0.4264,0,Risque moyen
43,2204.44,5,12,79.05,38.56,0,3333.02,Indépendant,736,52.21,0,0.3119,0,Faible risque
49,2035.15,81,15,58.1,18.69,0,3012.78,CDD,587,25.38,1,0.5409,1,Risque eleve
26,1750.19,21,13,33.74,3.47,2,4388.71,CDI,812,37.22,0,0.2887,0,Faible risque
37,1216.44,15,19,70.99,17.28,1,3248.63,CDI,698,51.57,0,0.3993,0,Risque moyen
43,1906.18,26,19,111.08,36.08,2,7509.46,CDD,641,36.14,0,0.712,1,Risque eleve
47,2204.71,50,14,12.98,23.08,0,2572.24,CDI,497,50.67,0,0.5628,1,Risque eleve
39,2282.52,2,13,32.39,12.02,0,2737.85,CDI,611,27.11,0,0.3345,0,Faible risque
30,5931.05,9,17,15.3,25.65,0,7408.3,Sans emploi,569,45.39,0,0.5936,1,Risque eleve
32,1628.03,10,23,58.71,23.89,0,1638.64,CDD,776,52.17,1,0.3153,0,Faible risque
19,1760.99,1,21,34.28,54.21,0,3920.25,CDI,585,29.47,0,0.5598,1,Risque eleve
27,4410.45,11,17,57.8,4.81,0,10102.36,CDI,510,46.37,0,0.365,0,Faible risque
27,2661.72,31,24,33.87,15.87,0,2442.82,CDI,577,26.11,1,0.4086,0,Risque moyen
42,1519.16,3,13,27.71,31.6,1,6807.89,Sans emploi,628,36.33,0,0.7503,1,Risque eleve
42,1606.91,63,14,19.87,7.65,1,4886.12,CDI,784,69.05,0,0.2732,0,Faible risque
39,3540.63,10,10,23.68,35.1,1,4076.89,Indépendant,850,15.14,0,0.2254,0,Faible risque
45,2564.75,16,14,80.67,47.46,0,5212.9,CDI,662,70.01,0,0.4149,0,Risque moyen
24,1845.93,28,17,23.97,5.43,0,13215.83,CDI,760,36.15,0,0.1725,0,Faible risque
26,1462.93,94,19,47.79,17.3,0,1977.84,CDI,567,72.89,0,0.5153,1,Risque moyen
50,2171.79,55,19,41.61,6.13,0,5619.96,CDD,735,41.76,0,0.2877,0,Faible risque
45,1317.17,1,14,36.74,47.46,0,1343.68,CDI,716,41.45,0,0.376,0,Faible risque
22,1886.53,15,18,15.77,25.97,0,5941.84,CDD,747,39.87,0,0.3333,0,Faible risque
30,1609.94,48,17,65.5,24.62,0,3999.75,CDI,665,22.67,0,0.3613,0,Faible risque
45,1883.95,4,16,15.52,20.86,0,9818.75,CDI,760,36.17,0,0.2052,0,Faible risque
40,1288.2,1,16,15.43,37.21,1,3945.88,CDD,579,38.5,0,0.7028,1,Risque eleve
48,1558.99,2,12,49.51,53.45,0,1512.26,Indépendant,614,62.51,1,0.5504,1,Risque eleve
31,1980.41,12,10,86.12,2.08,0,7194.65,CDI,747,44.1,0,0.176,0,Faible risque
30,2142.79,23,24,26.55,9.73,0,7378.4,CDI,608,69.28,0,0.3544,0,Faible risque
33,2676.5,28,17,26.65,39.22,0,1600.12,Indépendant,662,20.62,0,0.4035,0,Risque moyen
36,2065.09,28,16,30.05,23.62,1,2026.91,CDD,831,63.21,0,0.3401,0,Faible risque
18,1211.48,30,19,93.12,21.93,0,6456.82,Sans emploi,543,88.77,1,0.765,1,Risque eleve
35,4189.61,12,22,18.91,41.44,0,1834.48,Indépendant,799,15.3,0,0.2144,0,Faible risque
30,3783.56,44,13,13.2,56.84,1,1117.75,Sans emploi,837,29.55,1,0.5763,1,Risque eleve
27,1157.69,21,14,21.86,29.46,0,2042.66,CDI,818,42.18,0,0.2193,0,Faible risque
34,2064.17,56,17,154.14,40.2,3,1350.16,CDI,570,49.66,0,0.8244,1,Risque eleve
31,1295.5,80,20,20.09,31.37,0,6740.54,CDI,734,49.05,0,0.3312,0,Faible risque
25,1844.32,6,21,15.06,1.12,0,5655.94,CDI,575,52.46,1,0.359,0,Faible risque
35,1105.24,15,25,50.69,15.2,0,4335.42,CDI,568,33.11,0,0.4505,0,Risque moyen
31,2509.45,89,13,41.21,18.28,0,2803.64,CDD,548,63.0,0,0.5955,1,Risque eleve
36,1280.49,29,11,14.3,4.63,0,3457.6,CDI,703,28.75,1,0.2456,0,Faible risque
27,1668.12,29,13,34.46,14.52,1,4096.83,CDD,830,25.0,0,0.3019,0,Faible risque
29,4545.86,3,19,16.33,17.79,0,1522.13,CDI,710,19.59,0,0.2046,0,Faible risque
33,2940.22,15,20,105.8,32.49,0,4148.5,Indépendant,547,45.03,1,0.5154,1,Risque moyen
43,821.32,2,18,11.09,46.16,0,8127.01,Sans emploi,818,89.32,0,0.5124,1,Risque moyen
18,1646.04,31,11,38.7,36.18,1,3678.09,CDI,797,51.22,0,0.342,0,Faible risque
38,1420.57,32,17,59.14,75.23,0,5361.24,CDI,541,54.77,0,0.7161,1,Risque eleve
48,1189.31,19,16,63.95,33.98,1,3199.84,CDD,601,69.67,1,0.6894,1,Risque eleve
27,1724.56,63,18,25.49,6.32,0,7789.92,Sans emploi,625,63.63,0,0.6072,1,Risque eleve
35,1848.53,10,20,52.25,46.03,1,3327.52,CDD,702,40.02,1,0.5844,1,Risque eleve
34,1294.5,33,23,13.41,38.02,0,1942.17,CDI,610,16.69,0,0.4938,0,Risque moyen
18,2532.43,4,21,193.97,45.54,0,3040.31,CDI,611,14.32,0,0.4702,0,Risque moyen
41,1463.87,20,15,15.51,65.53,0,2506.72,Indépendant,608,81.55,1,0.6259,1,Risque eleve
27,965.92,6,27,22.4,36.99,0,2131.7,CDD,653,48.16,0,0.5413,1,Risque eleve
37,3081.04,1,18,22.87,29.42,0,2448.16,Indépendant,611,22.16,0,0.3996,0,Risque moyen
36,2494.04,6,21,168.7,17.38,0,2722.02,CDD,523,41.76,1,0.5777,1,Risque eleve
23,3054.58,15,13,80.88,11.35,0,3983.42,CDI,634,82.07,0,0.3089,0,Faible risque
44,1265.42,54,13,28.48,13.64,0,5793.37,CDI,729,45.59,0,0.2583,0,Faible risque
44,3321.14,55,15,17.65,31.34,1,3355.45,Indépendant,714,82.46,1,0.419,0,Risque moyen
27,1322.04,22,26,19.74,20.26,1,5649.99,CDI,508,71.34,0,0.6623,1,Risque eleve
43,1024.12,3,25,41.9,39.47,0,2390.35,CDD,643,10.81,0,0.5428,1,Risque eleve
35,1172.68,17,14,104.43,27.83,0,4514.19,CDI,631,3.81,0,0.4009,0,Risque moyen
29,1256.7,18,16,24.25,57.97,0,3551.17,CDI,611,48.6,0,0.5675,1,Risque eleve
32,2012.42,9,25,42.28,24.12,0,3404.37,CDI,811,12.46,0,0.1858,0,Faible risque
29,3677.44,10,19,74.25,40.2,0,2432.94,CDI,692,69.38,0,0.3303,0,Faible risque
26,1559.7,55,18,45.33,20.17,1,3987.09,CDI,604,20.62,1,0.5357,1,Risque eleve
31,1602.18,25,24,26.77,25.18,2,12964.3,Indépendant,585,38.95,0,0.6655,1,Risque eleve
31,3369.58,7,15,37.69,26.3,0,2823.53,CDI,625,64.21,1,0.3583,0,Faible risque
24,2279.82,6,13,12.31,20.53,2,4516.46,Indépendant,655,18.43,1,0.5401,1,Risque eleve
49,2245.93,19,18,101.69,31.18,1,8579.86,CDI,587,17.71,0,0.5413,1,Risque eleve
40,2883.59,8,20,26.11,29.16,1,3885.39,CDI,557,16.41,0,0.5629,1,Risque eleve
29,1005.79,12,10,64.31,3.99,0,3669.93,Indépendant,765,34.52,0,0.2015,0,Faible risque
33,937.24,42,14,44.8,44.95,0,5291.35,Sans emploi,677,26.91,0,0.6918,1,Risque eleve
48,2996.42,52,15,144.77,20.47,0,7230.14,CDD,617,18.69,0,0.4483,0,Risque moyen
33,3182.63,4,14,24.85,43.26,1,2238.22,CDI,653,36.57,0,0.4915,0,Risque moyen
25,1652.91,16,22,51.19,30.51,0,3350.69,CDI,592,55.68,0,0.4763,0,Risque moyen
27,3849.29,34,17,74.9,6.64,0,1708.05,CDI,682,49.43,0,0.2326,0,Faible risque
41,3376.14,4,9,34.2,31.86,0,3775.66,CDI,623,62.74,0,0.3699,0,Faible risque
26,800.0,16,24,14.58,64.05,2,3736.06,CDD,518,27.91,0,0.8992,1,Risque eleve
40,1414.96,6,25,5.0,22.84,0,1242.07,CDI,703,67.31,0,0.3168,0,Faible risque
31,1242.88,5,17,15.34,25.48,0,5555.96,CDI,594,21.53,0,0.4336,0,Risque moyen
55,1856.1,8,23,23.59,25.97,0,8022.35,CDD,646,51.21,0,0.4516,0,Risque moyen
25,2905.79,12,22,17.19,28.33,0,6176.2,CDD,697,9.18,0,0.3646,0,Faible risque
41,2342.3,1,18,7.18,30.1,1,1692.35,Indépendant,663,41.71,0,0.4723,0,Risque moyen
27,1564.32,26,22,105.79,58.27,0,6535.01,Indépendant,798,74.98,0,0.3488,0,Faible risque
34,1270.23,20,22,46.0,24.4,0,2939.34,CDD,620,8.17,0,0.5107,1,Risque moyen
30,1668.64,3,22,61.35,14.48,0,3093.06,Indépendant,575,46.4,0,0.441,0,Risque moyen
29,1469.88,27,18,8.53,56.9,1,2982.16,CDI,539,79.63,0,0.7548,1,Risque eleve
48,3674.84,92,13,27.01,11.15,0,4342.44,CDD,600,0.78,0,0.4345,0,Risque moyen
43,2051.64,1,13,21.0,6.7,0,17076.57,CDI,620,6.26,0,0.2653,0,Faible risque
38,3362.76,6,14,34.85,24.12,2,4175.17,CDD,709,61.77,0,0.5447,1,Risque eleve
27,1684.59,26,18,62.06,24.53,0,4881.56,CDI,430,70.56,0,0.6615,1,Risque eleve
42,1962.61,98,17,39.33,25.89,0,4009.91,CDI,557,53.11,0,0.5322,1,Risque moyen
34,800.0,84,26,53.79,21.28,0,2407.91,CDI,685,35.02,0,0.3821,0,Faible risque
27,1755.25,1,16,22.57,22.78,0,4109.56,Sans emploi,741,71.27,0,0.4977,0,Risque moyen
